library,day,start_time,end_time
DA   ,fri,09:00:00,17:00:00
DA   ,sat,09:00:00,17:00:00
DT   ,tue,12:30:00,20:30:00
DT   ,wed,10:00:00,18:00:00
DT   ,thu,12:30:00,20:30:00
DT   ,fri,10:00:00,18:00:00
DT   ,sat,09:00:00,17:00:00
DR   ,mon,10:00:00,20:00:00
DR   ,tue,12:30:00,20:30:00
DR   ,wed,10:00:00,18:00:00
DR   ,thu,12:30:00,20:30:00
DR   ,fri,10:00:00,18:00:00
DR   ,sat,09:00:00,17:00:00
DP   ,mon,09:00:00,20:00:00
DP   ,tue,09:00:00,20:00:00
DP   ,wed,09:00:00,20:00:00
DP   ,thu,09:00:00,20:00:00
DP   ,fri,09:00:00,17:00:00
DP   ,sat,09:00:00,17:00:00
DM   ,mon,09:00:00,20:00:00
DM   ,tue,09:00:00,20:00:00
DM   ,wed,09:00:00,20:00:00
DM   ,thu,09:00:00,20:00:00
DM   ,fri,09:00:00,20:00:00
DM   ,sat,09:00:00,17:00:00
DM   ,sun,13:30:00,17:30:00
DO   ,mon,09:00:00,20:00:00
DO   ,tue,09:00:00,20:00:00
DO   ,wed,09:00:00,20:00:00
DO   ,thu,09:00:00,20:00:00
DO   ,fri,09:00:00,17:00:00
DO   ,sat,09:00:00,17:00:00
DO   ,sun,13:30:00,17:30:00
DU   ,mon,10:00:00,20:00:00
DU   ,tue,12:30:00,20:30:00
DU   ,wed,10:00:00,18:00:00
DU   ,thu,12:30:00,20:30:00
DU   ,fri,10:00:00,18:00:00
DU   ,sat,09:00:00,17:00:00
EA   ,mon,09:00:00,20:00:00
EA   ,tue,09:00:00,20:00:00
EA   ,wed,09:00:00,20:00:00
EA   ,thu,09:00:00,20:00:00
EA   ,fri,09:00:00,17:00:00
EA   ,sat,09:00:00,17:00:00
EA   ,sun,13:30:00,17:30:00
ES   ,mon,09:00:00,20:00:00
ES   ,tue,09:00:00,20:00:00
ES   ,wed,09:00:00,20:00:00
ES   ,thu,09:00:00,20:00:00
ES   ,fri,09:00:00,17:00:00
ES   ,sat,09:00:00,17:00:00
ES   ,sun,13:30:00,17:30:00
